"","x.values","f.values","var","inter","data_func","datapoints","decay","technique","average_area"
"2670",0.673469387755102,0.308463935087312,2,1,"data2",500,0.001,"me",0.230278043203302
"2671",0.693877551020408,0.372727715966848,2,1,"data2",500,0.001,"me",0.230278043203302
"2672",0.714285714285714,0.400704309106165,2,1,"data2",500,0.001,"me",0.230278043203302
"2673",0.73469387755102,0.425814448745131,2,1,"data2",500,0.001,"me",0.230278043203302
"2674",0.755102040816326,0.530404736235237,2,1,"data2",500,0.001,"me",0.230278043203302
"2675",0.775510204081633,0.546712589772517,2,1,"data2",500,0.001,"me",0.230278043203302
"2676",0.795918367346939,0.561838942035608,2,1,"data2",500,0.001,"me",0.230278043203302
"2677",0.816326530612245,0.624761417158701,2,1,"data2",500,0.001,"me",0.230278043203302
"2678",0.836734693877551,0.66365828585331,2,1,"data2",500,0.001,"me",0.230278043203302
"2679",0.857142857142857,0.718628521687918,2,1,"data2",500,0.001,"me",0.230278043203302
"2680",0.877551020408163,0.70200567440103,2,1,"data2",500,0.001,"me",0.230278043203302
"2681",0.897959183673469,0.750570713004934,2,1,"data2",500,0.001,"me",0.230278043203302
"2682",0.918367346938775,0.811474671488339,2,1,"data2",500,0.001,"me",0.230278043203302
"2683",0.938775510204082,0.830501318517092,2,1,"data2",500,0.001,"me",0.230278043203302
"2684",0.959183673469388,0.830408238041302,2,1,"data2",500,0.001,"me",0.230278043203302
"2685",0.979591836734694,0.868921415339523,2,1,"data2",500,0.001,"me",0.230278043203302
"2686",1,0.912639976707067,2,1,"data2",500,0.001,"me",0.230278043203302
"4275",0,-0.894346430210609,1,1,"data3",500,0.001,"me",0.241027293164957
"4276",0.0208333333333333,-0.848429444562382,1,1,"data3",500,0.001,"me",0.241027293164957
"4277",0.0416666666666667,-0.830378952578618,1,1,"data3",500,0.001,"me",0.241027293164957
"4278",0.0625,-0.793858875951966,1,1,"data3",500,0.001,"me",0.241027293164957
"4279",0.0833333333333333,-0.748822362241824,1,1,"data3",500,0.001,"me",0.241027293164957
"4280",0.104166666666667,-0.714007775477532,1,1,"data3",500,0.001,"me",0.241027293164957
"4281",0.125,-0.693768845842405,1,1,"data3",500,0.001,"me",0.241027293164957
"4282",0.145833333333333,-0.660940827090171,1,1,"data3",500,0.001,"me",0.241027293164957
"4283",0.166666666666667,-0.625392054116367,1,1,"data3",500,0.001,"me",0.241027293164957
"4284",0.1875,-0.598642887834805,1,1,"data3",500,0.001,"me",0.241027293164957
"4285",0.208333333333333,-0.583041205006282,1,1,"data3",500,0.001,"me",0.241027293164957
"4286",0.229166666666667,-0.539788813000454,1,1,"data3",500,0.001,"me",0.241027293164957
"4287",0.25,-0.486999613367283,1,1,"data3",500,0.001,"me",0.241027293164957
"4288",0.270833333333333,-0.492366729809681,1,1,"data3",500,0.001,"me",0.241027293164957
"4289",0.291666666666667,-0.446639006701381,1,1,"data3",500,0.001,"me",0.241027293164957
"4290",0.3125,-0.416355354017049,1,1,"data3",500,0.001,"me",0.241027293164957
"4291",0.333333333333333,-0.403150990662247,1,1,"data3",500,0.001,"me",0.241027293164957
"4292",0.354166666666667,-0.359075054477693,1,1,"data3",500,0.001,"me",0.241027293164957
"4293",0.375,-0.349801202138555,1,1,"data3",500,0.001,"me",0.241027293164957
"4294",0.395833333333333,-0.322860887136234,1,1,"data3",500,0.001,"me",0.241027293164957
"4295",0.416666666666667,-0.225668732066737,1,1,"data3",500,0.001,"me",0.241027293164957
"4296",0.4375,-0.165504512797445,1,1,"data3",500,0.001,"me",0.241027293164957
"4297",0.458333333333333,-0.151264367205942,1,1,"data3",500,0.001,"me",0.241027293164957
"4298",0.479166666666667,-0.129377837730598,1,1,"data3",500,0.001,"me",0.241027293164957
"4299",0.5,-0.0599449583324876,1,1,"data3",500,0.001,"me",0.241027293164957
"4300",0.520833333333333,-0.0718384755387558,1,1,"data3",500,0.001,"me",0.241027293164957
"4301",0.541666666666667,-0.00609568494594559,1,1,"data3",500,0.001,"me",0.241027293164957
"4302",0.5625,-0.00739262286913012,1,1,"data3",500,0.001,"me",0.241027293164957
"4303",0.583333333333333,0.0645031573778274,1,1,"data3",500,0.001,"me",0.241027293164957
"4304",0.604166666666667,0.0512281018368065,1,1,"data3",500,0.001,"me",0.241027293164957
"4305",0.625,0.205605998136281,1,1,"data3",500,0.001,"me",0.241027293164957
"4306",0.645833333333333,0.228111574027106,1,1,"data3",500,0.001,"me",0.241027293164957
"4307",0.666666666666667,0.219779218797018,1,1,"data3",500,0.001,"me",0.241027293164957
"4308",0.6875,0.288176434913669,1,1,"data3",500,0.001,"me",0.241027293164957
"4309",0.708333333333333,0.374171064644082,1,1,"data3",500,0.001,"me",0.241027293164957
"4310",0.729166666666667,0.424055081248897,1,1,"data3",500,0.001,"me",0.241027293164957
"4311",0.75,0.488967404209326,1,1,"data3",500,0.001,"me",0.241027293164957
"4312",0.770833333333333,0.526540180675958,1,1,"data3",500,0.001,"me",0.241027293164957
"4313",0.791666666666667,0.576436907106644,1,1,"data3",500,0.001,"me",0.241027293164957
"4314",0.8125,0.581134740315348,1,1,"data3",500,0.001,"me",0.241027293164957
"4315",0.833333333333333,0.650542664561806,1,1,"data3",500,0.001,"me",0.241027293164957
"4316",0.854166666666667,0.684699306843736,1,1,"data3",500,0.001,"me",0.241027293164957
"4317",0.875,0.766320839449382,1,1,"data3",500,0.001,"me",0.241027293164957
"4318",0.895833333333333,0.81140318222236,1,1,"data3",500,0.001,"me",0.241027293164957
"4319",0.916666666666667,0.910119394470426,1,1,"data3",500,0.001,"me",0.241027293164957
"4320",0.9375,0.866436816482814,1,1,"data3",500,0.001,"me",0.241027293164957
"4321",0.958333333333333,0.927946394884434,1,1,"data3",500,0.001,"me",0.241027293164957
"4322",0.979166666666667,0.947163889993705,1,1,"data3",500,0.001,"me",0.241027293164957
"4323",1,1.04225621644647,1,1,"data3",500,0.001,"me",0.241027293164957
"4424",0,-0.810086827522523,2,1,"data3",500,0.001,"me",0.241027293164957
"4425",0.0208333333333333,-0.821911672626287,2,1,"data3",500,0.001,"me",0.241027293164957
"4426",0.0416666666666667,-0.788251956523175,2,1,"data3",500,0.001,"me",0.241027293164957
"4427",0.0625,-0.752749668123705,2,1,"data3",500,0.001,"me",0.241027293164957
"4428",0.0833333333333333,-0.740516399730292,2,1,"data3",500,0.001,"me",0.241027293164957
"4429",0.104166666666667,-0.687162753846443,2,1,"data3",500,0.001,"me",0.241027293164957
"4430",0.125,-0.671547427078644,2,1,"data3",500,0.001,"me",0.241027293164957
"4431",0.145833333333333,-0.672827251598021,2,1,"data3",500,0.001,"me",0.241027293164957
"4432",0.166666666666667,-0.651217094515524,2,1,"data3",500,0.001,"me",0.241027293164957
"4433",0.1875,-0.619179295907659,2,1,"data3",500,0.001,"me",0.241027293164957
"4434",0.208333333333333,-0.565880524840247,2,1,"data3",500,0.001,"me",0.241027293164957
"4435",0.229166666666667,-0.540686720871274,2,1,"data3",500,0.001,"me",0.241027293164957
"4436",0.25,-0.489775063199639,2,1,"data3",500,0.001,"me",0.241027293164957
"4437",0.270833333333333,-0.492008677219318,2,1,"data3",500,0.001,"me",0.241027293164957
"4438",0.291666666666667,-0.462902918124262,2,1,"data3",500,0.001,"me",0.241027293164957
"4439",0.3125,-0.450952438275893,2,1,"data3",500,0.001,"me",0.241027293164957
"4440",0.333333333333333,-0.416967699623959,2,1,"data3",500,0.001,"me",0.241027293164957
"4441",0.354166666666667,-0.345043678295453,2,1,"data3",500,0.001,"me",0.241027293164957
"4442",0.375,-0.334686696650367,2,1,"data3",500,0.001,"me",0.241027293164957
"4443",0.395833333333333,-0.293145415429706,2,1,"data3",500,0.001,"me",0.241027293164957
"4444",0.416666666666667,-0.23636831690379,2,1,"data3",500,0.001,"me",0.241027293164957
"4445",0.4375,-0.207878152743328,2,1,"data3",500,0.001,"me",0.241027293164957
"4446",0.458333333333333,-0.162931269207204,2,1,"data3",500,0.001,"me",0.241027293164957
"4447",0.479166666666667,-0.140153270949112,2,1,"data3",500,0.001,"me",0.241027293164957
"4448",0.5,-0.107394527890109,2,1,"data3",500,0.001,"me",0.241027293164957
"4449",0.520833333333333,-0.0935108508256405,2,1,"data3",500,0.001,"me",0.241027293164957
"4450",0.541666666666667,-0.00756295993248268,2,1,"data3",500,0.001,"me",0.241027293164957
"4451",0.5625,-0.00359900706844851,2,1,"data3",500,0.001,"me",0.241027293164957
"4452",0.583333333333333,0.0692654048710984,2,1,"data3",500,0.001,"me",0.241027293164957
"4453",0.604166666666667,0.0825315036853148,2,1,"data3",500,0.001,"me",0.241027293164957
"4454",0.625,0.17876633194221,2,1,"data3",500,0.001,"me",0.241027293164957
"4455",0.645833333333333,0.2118127628103,2,1,"data3",500,0.001,"me",0.241027293164957
"4456",0.666666666666667,0.231541807712128,2,1,"data3",500,0.001,"me",0.241027293164957
"4457",0.6875,0.292842109159177,2,1,"data3",500,0.001,"me",0.241027293164957
"4458",0.708333333333333,0.364792345631826,2,1,"data3",500,0.001,"me",0.241027293164957
"4459",0.729166666666667,0.348782286638721,2,1,"data3",500,0.001,"me",0.241027293164957
"4460",0.75,0.460229997726566,2,1,"data3",500,0.001,"me",0.241027293164957
"4461",0.770833333333333,0.506066265601563,2,1,"data3",500,0.001,"me",0.241027293164957
